"Finance.Code","Sq..Ft.","Sales.Price","DOM","Street.#","Street.Name","Closed.Date","sale_type","address"
"Cash Sale",995,34000,27,"4738","LUMLEY",44927,"single family","4738 LUMLEY"
"FHA Sale",1064,89100,21,"16146","BLACKSTONE",44927,"single family","16146 BLACKSTONE"
"Cash Sale",1296,38000,40,"15115","Sussex",44928,"single family","15115 Sussex"
"Cash Sale",916,27750,17,"16485","ROSSINI",44929,"single family","16485 ROSSINI"
"Cash Sale",1660,55000,96,"15521","AUBURN",44929,"single family","15521 AUBURN"
"Cash Sale",1318,60000,63,"16848","FIELDING",44929,"single family","16848 FIELDING"
"CONV Sale",997,64000,36,"20230","ROSELAWN",44929,"single family","20230 ROSELAWN"
"CONV Sale",908,80000,41,"13952","CHATHAM",44929,"single family","13952 CHATHAM"
"Cash Sale",2874,150000,26,"18112","NORTHLAWN",44929,"single family","18112 NORTHLAWN"
"FHA Sale",1095,160000,24,"16598","BILTMORE",44929,"single family","16598 BILTMORE"
"Cash Sale",986,17000,25,"3855","HARDING",44930,"single family","3855 HARDING"
"Cash Sale",1437,27500,18,"14819","PREST",44930,"single family","14819 PREST"
"Cash Sale",922,35000,18,"13754","DWYER",44930,"single family","13754 DWYER"
"Cash Sale",692,45000,23,"7403","ROCKDALE",44930,"single family","7403 ROCKDALE"
"Cash Sale",860,50000,57,"18075","BUFFALO",44930,"single family","18075 BUFFALO"
"Cash Sale",1128,61101,13,"5676","CHRISTIANCY",44930,"single family","5676 CHRISTIANCY"
"Cash Sale",1341,75500,60,"19449","HARTWELL",44930,"single family","19449 HARTWELL"
"CONV Sale",984,88000,79,"19831","SHIAWASSEE",44930,"single family","19831 SHIAWASSEE"
"FHA Sale",952,115000,3,"12662","RIVERDALE",44930,"single family","12662 RIVERDALE"
"CONV Sale",1500,140000,95,"6491","LONDON",44930,"single family","6491 LONDON"
"CONV Sale",1514,145000,28,"11260","LANSDOWNE",44930,"single family","11260 LANSDOWNE"
"FHA Sale",1612,187000,4,"5984","HILLCREST",44930,"single family","5984 HILLCREST"
"CONV Sale",1567,206000,6,"18687","CHERRYLAWN",44930,"single family","18687 CHERRYLAWN"
"CONV Sale",2254,309000,3,"1372","SEWARD",44930,"single family","1372 SEWARD"
"Cash Sale",1486,33000,37,"4497","HARDING",44931,"single family","4497 HARDING"
"Cash Sale",1096,40000,91,"14892","HARTWELL",44931,"single family","14892 HARTWELL"
"Cash Sale",700,45000,23,"11106","NOTTINGHAM",44931,"single family","11106 NOTTINGHAM"
"Cash Sale",1370,50000,170,"19738","WESTPHALIA",44931,"single family","19738 WESTPHALIA"
"Other Sale",756,54500,0,"7807","MEMORIAL",44931,"single family","7807 MEMORIAL"
"Cash Sale",1380,71000,35,"9132","LITTLEFIELD",44931,"single family","9132 LITTLEFIELD"
"Cash Sale",1212,73500,5,"1695","ETHEL",44931,"single family","1695 ETHEL"
"CONV Sale",1054,1e+05,0,"4145","CADIEUX",44931,"single family","4145 CADIEUX"
"FHA Sale",1321,122900,69,"15789","BIRWOOD",44931,"single family","15789 BIRWOOD"
"CONV Sale",2057,155000,22,"2521","EDISON Street",44931,"single family","2521 EDISON Street"
"FHA Sale",2819,389000,16,"474","FISKE",44931,"single family","474 FISKE"
"Cash Sale",860,13905,53,"20403","MONTE VISTA",44932,"single family","20403 MONTE VISTA"
"Cash Sale",1281,25000,37,"14640","CHERRYLAWN",44932,"single family","14640 CHERRYLAWN"
"Cash Sale",1338,32500,142,"15880","MANOR",44932,"single family","15880 MANOR"
"Cash Sale",2626,45000,103,"6187","STANTON",44932,"single family","6187 STANTON"
"Cash Sale",1149,49000,8,"10763","WAYBURN",44932,"single family","10763 WAYBURN"
"Contract",900,50000,213,"8026","Brace",44932,"single family","8026 Brace"
"Other Sale",3304,55000,8,"2059","CALVERT",44932,"single family","2059 CALVERT"
"Cash Sale",758,56500,92,"13518","Dale",44932,"single family","13518 Dale"
"Cash Sale",1023,61500,48,"20042","FENMORE",44932,"single family","20042 FENMORE"
"CONV Sale",908,69900,23,"16133","Muirland",44932,"single family","16133 Muirland"
"Cash Sale",1554,70000,22,"14607","ARTESIAN",44932,"single family","14607 ARTESIAN"
"FHA Sale",1098,83000,16,"12074","PENROD",44932,"single family","12074 PENROD"
"Cash Sale",1438,1e+05,25,"14521","ASHTON",44932,"single family","14521 ASHTON"
"FHA Sale",965,106000,48,"2363","CABOT",44932,"single family","2363 CABOT"
"CONV Sale",1948,125000,30,"3783","FULLERTON",44932,"single family","3783 FULLERTON"
"FHA Sale",1222,132000,57,"19173","WESTMORELAND",44932,"single family","19173 WESTMORELAND"
"CONV Sale",1210,140000,6,"24276","Shiawassee",44932,"single family","24276 Shiawassee"
"Other Sale",1388,150000,25,"8346","Hartwell",44932,"single family","8346 Hartwell"
"FHA Sale",2415,160000,87,"5043","KENSINGTON",44932,"single family","5043 KENSINGTON"
"FHA Sale",1348,175000,76,"3683","THREE MILE",44932,"single family","3683 THREE MILE"
"FHA 203K",2960,219000,58,"1444","EDISON",44932,"single family","1444 EDISON"
"CONV Sale",2750,303000,13,"18075","ROSELAWN",44932,"single family","18075 ROSELAWN"
"Cash Sale",3552,330000,118,"2506","PHILADELPHIA",44932,"single family","2506 PHILADELPHIA"
"CONV Sale",3051,385000,61,"708","LONGFELLOW",44932,"single family","708 LONGFELLOW"
"Cash Sale",904,16500,67,"15404","FAIRCREST",44935,"single family","15404 FAIRCREST"
"Cash Sale",2000,35000,162,"458","Marlborough",44935,"single family","458 Marlborough"
"Cash Sale",1355,45000,117,"9911","WARD",44935,"single family","9911 WARD"
"Cash Sale",890,48000,11,"19966","PREVOST",44935,"single family","19966 PREVOST"
"Cash Sale",960,50000,28,"7795","HEYDEN",44935,"single family","7795 HEYDEN"
"Cash Sale",1202,50500,30,"18709","BARLOW",44935,"single family","18709 BARLOW"
"Cash Sale",1497,67271,32,"932","EUCLID",44935,"single family","932 EUCLID"
"CONV Sale",1852,69000,34,"9526","HUBBELL",44935,"single family","9526 HUBBELL"
"CONV Sale",1218,89000,50,"16520","ARCHDALE",44935,"single family","16520 ARCHDALE"
"Cash Sale",1449,90000,4,"3958","BERKSHIRE",44935,"single family","3958 BERKSHIRE"
"Contract",1140,90000,217,"15832-15826","SOUTHFIELD FWY",44935,"single family","15832-15826 SOUTHFIELD FWY"
"FHA Sale",1200,116000,10,"16530","MURRAY HILL",44935,"single family","16530 MURRAY HILL"
"FHA Sale",1582,132500,22,"15750","FERGUSON",44935,"single family","15750 FERGUSON"
"CONV Sale",2018,274000,8,"19460","Gainsborough",44935,"single family","19460 Gainsborough"
"Cash Sale",600,90000,8,"5829","ROWLEY",44936,"single family","5829 ROWLEY"
"CONV Sale",805,99900,11,"15233","PARK GROVE",44936,"single family","15233 PARK GROVE"
"Contract",1333,110000,10,"17152","GLASTONBURY",44936,"single family","17152 GLASTONBURY"
"CONV Sale",1006,125000,13,"7545","ABINGTON",44936,"single family","7545 ABINGTON"
"CONV Sale",1358,130000,43,"16565","SUSSEX",44936,"single family","16565 SUSSEX"
"CONV Sale",1506,140000,36,"15847","Baylis",44936,"single family","15847 Baylis"
"FHA Sale",1926,150000,224,"19355","COYLE",44936,"single family","19355 COYLE"
"FHA Sale",2728,290000,64,"540","PIPER",44936,"single family","540 PIPER"
"Cash Sale",800,11500,18,"18990","PATTON",44937,"single family","18990 PATTON"
"Cash Sale",1001,23000,21,"14345","STOUT",44937,"single family","14345 STOUT"
"Cash Sale",1216,26000,10,"11835","DUCHESS",44937,"single family","11835 DUCHESS"
"CONV Sale",1409,35000,61,"21512","Orchard",44937,"single family","21512 Orchard"
"Cash Sale",1592,49000,95,"16822","MENDOTA",44937,"single family","16822 MENDOTA"
"Cash Sale",1980,50000,6,"1443","BEWICK",44937,"single family","1443 BEWICK"
"Cash Sale",960,63000,20,"20025","KENTUCKY",44937,"single family","20025 KENTUCKY"
"Contract",1012,85000,22,"7701","RUTLAND",44937,"single family","7701 RUTLAND"
"CONV Sale",1250,108000,29,"11348","BRAMELL",44937,"single family","11348 BRAMELL"
"FHA Sale",2176,210000,10,"3435","HAVERHILL",44937,"single family","3435 HAVERHILL"
"CONV Sale",3100,415000,141,"17174","FAIRFIELD",44937,"single family","17174 FAIRFIELD"
"Cash Sale",971,16000,18,"14387","AUBURN",44938,"single family","14387 AUBURN"
"Cash Sale",1192,20000,159,"14049","TACOMA",44938,"single family","14049 TACOMA"
"Cash Sale",1090,65000,65,"16614","WOODBINE",44938,"single family","16614 WOODBINE"
"CONV Sale",1161,75000,63,"6520","AUBURN",44938,"single family","6520 AUBURN"
"Contract",1513,80000,84,"17443","FLEMING",44938,"single family","17443 FLEMING"
"Cash Sale",2857,105000,75,"3205","LESLIE",44938,"single family","3205 LESLIE"
"FHA Sale",1250,170000,77,"3929","COMMOR",44938,"single family","3929 COMMOR"
"VA Sale",1886,210000,53,"18460","SAN JUAN",44938,"single family","18460 SAN JUAN"
"FHA Sale",1737,265000,61,"282","Lakewood",44938,"single family","282 Lakewood"
"CONV Sale",2334,363500,25,"4828","AVERY",44938,"single family","4828 AVERY"
"Cash Sale",1882,10000,275,"12801","WILSHIRE",44939,"single family","12801 WILSHIRE"
"Cash Sale",1023,12700,34,"14130","SORRENTO",44939,"single family","14130 SORRENTO"
"Cash Sale",700,26000,67,"18677","Fenelon",44939,"single family","18677 Fenelon"
"Cash Sale",1156,26000,17,"8091","Mandalay Street",44939,"single family","8091 Mandalay Street"
"Cash Sale",1419,30000,99,"14251","Kilbourne St",44939,"single family","14251 Kilbourne St"
"Cash Sale",1134,33000,63,"12064","ELMDALE",44939,"single family","12064 ELMDALE"
"Cash Sale",1547,34250,30,"15359","BILTMORE",44939,"single family","15359 BILTMORE"
"Cash Sale",1400,37500,15,"15894","Wisconsin",44939,"single family","15894 Wisconsin"
"Cash Sale",939,43000,32,"18039","RIOPELLE",44939,"single family","18039 RIOPELLE"
"CONV Sale",1236,46000,69,"8856","MARSEILLES",44939,"single family","8856 MARSEILLES"
"CONV Sale",1114,60000,100,"14890","APPOLINE",44939,"single family","14890 APPOLINE"
"CONV Sale",1153,67500,5,"16246","SNOWDEN",44939,"single family","16246 SNOWDEN"
"Cash Sale",1101,67500,53,"6356","PIEDMONT",44939,"single family","6356 PIEDMONT"
"FHA Sale",1364,75000,31,"11845","LAKEPOINTE",44939,"single family","11845 LAKEPOINTE"
"FHA Sale",836,80000,49,"15803","FORDHAM",44939,"single family","15803 FORDHAM"
"Cash Sale",1024,85000,83,"11606","SOMERSET",44939,"single family","11606 SOMERSET"
"CONV Sale",1364,85000,71,"11645","CHEYENNE",44939,"single family","11645 CHEYENNE"
"CONV Sale",1035,97500,50,"6140","LODEWYCK",44939,"single family","6140 LODEWYCK"
"FHA Sale",1274,120000,67,"18016","SORRENTO",44939,"single family","18016 SORRENTO"
"CONV Sale",1404,122200,77,"495","MANISTIQUE",44939,"single family","495 MANISTIQUE"
"FHA Sale",1476,145000,30,"16869","GLASTONBURY",44939,"single family","16869 GLASTONBURY"
"FHA Sale",1240,157000,37,"11652","Chatham",44939,"single family","11652 Chatham"
"FHA Sale",1543,2e+05,35,"18261","MONICA",44939,"single family","18261 MONICA"
"CONV Sale",2032,2e+05,183,"16661","INVERNESS",44939,"single family","16661 INVERNESS"
"CONV Sale",2076,265000,115,"17388","WARRINGTON",44939,"single family","17388 WARRINGTON"
"CONV Sale",3381,660000,16,"3250","CAMBRIDGE",44939,"single family","3250 CAMBRIDGE"
"CONV Sale",934,43000,104,"20663","Mccormick St",44942,"single family","20663 Mccormick St"
"Contract",1071,66000,4,"2974","GREYFRIARS",44942,"single family","2974 GREYFRIARS"
"CONV Sale",800,110000,0,"19949","SOUTHFIELD",44942,"single family","19949 SOUTHFIELD"
"Cash Sale",1403,14000,18,"15242","STATE FAIR",44943,"single family","15242 STATE FAIR"
"Cash Sale",796,30000,35,"10817","ROXBURY",44943,"single family","10817 ROXBURY"
"Cash Sale",1045,35000,39,"13631","Sunset",44943,"single family","13631 Sunset"
"Cash Sale",1235,45000,47,"13601","MENDOTA",44943,"single family","13601 MENDOTA"
"CONV Sale",962,61000,10,"15824","DACOSTA",44943,"single family","15824 DACOSTA"
"FHA Sale",1519,65000,5,"13250","HUBBELL",44943,"single family","13250 HUBBELL"
"CONV Sale",1786,70000,100,"2303","Waverly",44943,"single family","2303 Waverly"
"CONV Sale",1164,130000,0,"19743","Freeland",44943,"single family","19743 Freeland"
"FHA Sale",1338,135000,6,"18256","GRIGGS",44943,"single family","18256 GRIGGS"
"FHA Sale",1335,155000,1,"5581","THREE MILE",44943,"single family","5581 THREE MILE"
"FHA Sale",2248,185000,0,"4717","HAVERHILL",44943,"single family","4717 HAVERHILL"
"Cash Sale",908,31990,8,"19511","HARLOW",44944,"single family","19511 HARLOW"
"Cash Sale",912,32000,8,"9342","Cloverlawn",44944,"single family","9342 Cloverlawn"
"Cash Sale",1167,51000,76,"15848","CHEYENNE",44944,"single family","15848 CHEYENNE"
"Cash Sale",1248,51500,1,"11176","ROXBURY",44944,"single family","11176 ROXBURY"
"Cash Sale",1196,58000,91,"16590","GILCHRIST",44944,"single family","16590 GILCHRIST"
"Cash Sale",901,60000,82,"6703","ARTESIAN",44944,"single family","6703 ARTESIAN"
"CONV Sale",1039,70000,17,"16509","MURRAY HILL",44944,"single family","16509 MURRAY HILL"
"FHA Sale",981,115000,11,"14088","OUTER",44944,"single family","14088 OUTER"
"CONV Sale",972,125000,58,"19960","Hartwell",44944,"single family","19960 Hartwell"
"CONV Sale",1223,140000,48,"20309","CHAPEL",44944,"single family","20309 CHAPEL"
"CONV Sale",2200,245000,13,"2262","CLAIRMOUNT",44944,"single family","2262 CLAIRMOUNT"
"CONV Sale",4431,460000,22,"1064","IROQUOIS",44944,"single family","1064 IROQUOIS"
"Cash Sale",752,18000,11,"14869","PARKSIDE",44945,"single family","14869 PARKSIDE"
"Cash Sale",1770,38000,19,"1819","Outer",44945,"single family","1819 Outer"
"Cash Sale",1125,50000,70,"16521","CRUSE",44945,"single family","16521 CRUSE"
"CONV Sale",1047,59900,22,"5299","FARMBROOK",44945,"single family","5299 FARMBROOK"
"CONV Sale",997,75000,11,"18991","GREYDALE",44945,"single family","18991 GREYDALE"
"FHA Sale",1031,85000,15,"6436","GREENVIEW",44945,"single family","6436 GREENVIEW"
"Cash Sale",1764,86000,59,"9372","PINEHURST",44945,"single family","9372 PINEHURST"
"FHA Sale",1066,105000,33,"17654","FENTON",44945,"single family","17654 FENTON"
"FHA Sale",1168,132000,49,"18660","COYLE",44945,"single family","18660 COYLE"
"CONV Sale",1236,150000,16,"5245","LANNOO",44945,"single family","5245 LANNOO"
"FHA Sale",1726,228500,33,"17511","Ohio",44945,"single family","17511 Ohio"
"FHA Sale",1962,3e+05,236,"17500","WILDEMERE",44945,"single family","17500 WILDEMERE"
"CONV Sale",2429,350000,127,"540","ARDEN PARK",44945,"single family","540 ARDEN PARK"
"Cash Sale",1060,14000,15,"15370","LESURE",44946,"single family","15370 LESURE"
"Cash Sale",1288,30000,134,"8916","GRIGGS",44946,"single family","8916 GRIGGS"
"Cash Sale",982,34000,24,"11311","STEEL",44946,"single family","11311 STEEL"
"Cash Sale",931,40000,172,"17601","FIELDING",44946,"single family","17601 FIELDING"
"Cash Sale",906,40000,32,"18150","FLEMING",44946,"single family","18150 FLEMING"
"Cash Sale",1258,45000,3,"1980","GRAND",44946,"single family","1980 GRAND"
"Cash Sale",1400,47000,11,"11592","ROXBURY",44946,"single family","11592 ROXBURY"
"Cash Sale",1531,47500,91,"16830","PIERSON",44946,"single family","16830 PIERSON"
"Cash Sale",914,67500,5,"18666","JOSEPH CAMPAU",44946,"single family","18666 JOSEPH CAMPAU"
"Cash Sale",758,69000,132,"20019","ASHTON",44946,"single family","20019 ASHTON"
"FHA Sale",856,70000,3,"19269","KEYSTONE",44946,"single family","19269 KEYSTONE"
"Cash Sale",906,71000,5,"19861","GRANDVIEW",44946,"single family","19861 GRANDVIEW"
"Cash Sale",1079,72500,52,"12251","STEEL",44946,"single family","12251 STEEL"
"FHA Sale",1094,88000,29,"13827","COLLINGHAM",44946,"single family","13827 COLLINGHAM"
"Cash Sale",839,90500,9,"17809","BEAVERLAND",44946,"single family","17809 BEAVERLAND"
"Cash Sale",1382,1e+05,52,"18466","Washburn",44946,"single family","18466 Washburn"
"CONV Sale",1204,125000,13,"11404","Beaverland",44946,"single family","11404 Beaverland"
"Cash Sale",1902,136500,180,"14453","HARBOR",44946,"single family","14453 HARBOR"
"CONV Sale",1896,142900,7,"14175","GRANDMONT",44946,"single family","14175 GRANDMONT"
"CONV Sale",1300,170000,66,"3499","Grayton",44946,"single family","3499 Grayton"
"CONV Sale",2435,260000,91,"1652","EDISON",44946,"single family","1652 EDISON"
"FHA Sale",2077,268000,32,"18508","ROSELAWN",44946,"single family","18508 ROSELAWN"
"CONV Sale",2660,420000,5,"1970","EDISON",44946,"single family","1970 EDISON"
"Cash Sale",1076,71000,105,"6081","GRANDVILLE",44948,"single family","6081 GRANDVILLE"
"Cash Sale",1092,25000,75,"3031","VIRGINIA PARK",44949,"single family","3031 VIRGINIA PARK"
"Cash Sale",950,41500,6,"18328","AVON",44949,"single family","18328 AVON"
"Cash Sale",968,43500,22,"14565","ARDMORE",44949,"single family","14565 ARDMORE"
"Cash Sale",1652,50000,7,"20518","ASHTON",44949,"single family","20518 ASHTON"
"CONV Sale",1116,54900,100,"656","HOLLYWOOD",44949,"single family","656 HOLLYWOOD"
"Cash Sale",1064,64000,7,"16110","AVON",44949,"single family","16110 AVON"
"Cash Sale",719,65000,60,"6746","WESTWOOD",44949,"single family","6746 WESTWOOD"
"Cash Sale",1015,70000,30,"7693","WARWICK",44949,"single family","7693 WARWICK"
"Cash Sale",1016,1e+05,3,"16680","LESURE",44949,"single family","16680 LESURE"
"FHA Sale",982,110000,17,"18412","FAUST",44949,"single family","18412 FAUST"
"CONV Sale",768,58500,82,"14055","PLAINVIEW",44950,"single family","14055 PLAINVIEW"
"FHA Sale",1123,73000,46,"2975","DEACON",44950,"single family","2975 DEACON"
"FHA Sale",732,75800,14,"21500","PEMBROKE",44950,"single family","21500 PEMBROKE"
"FHA Sale",1228,125000,12,"431","Marlborough",44950,"single family","431 Marlborough"
"FHA Sale",1386,190000,85,"18237","LITTLEFIELD",44950,"single family","18237 LITTLEFIELD"
"CONV Sale",2206,265000,5,"16815","LA SALLE",44950,"single family","16815 LA SALLE"
"CONV Sale",2173,325000,3,"730","ATKINSON",44950,"single family","730 ATKINSON"
"CONV Sale",2801,380000,37,"19160","SANTA BARBARA",44950,"single family","19160 SANTA BARBARA"
"Cash Sale",988,30000,61,"22612","LYNDON",44951,"single family","22612 LYNDON"
"Cash Sale",744,38000,91,"1415","ANNABELLE",44951,"single family","1415 ANNABELLE"
"Cash Sale",1046,44900,38,"6156","LODEWYCK",44951,"single family","6156 LODEWYCK"
"Cash Sale",1200,60000,120,"14534","VAUGHAN",44951,"single family","14534 VAUGHAN"
"CONV Sale",1488,75000,0,"3316","HAZELWOOD",44951,"single family","3316 HAZELWOOD"
"CONV Sale",1283,77200,98,"17331","HEYDEN",44951,"single family","17331 HEYDEN"
"FHA Sale",1692,95000,37,"5967","BISHOP",44951,"single family","5967 BISHOP"
"CONV Sale",1164,101000,88,"17369","PREST",44951,"single family","17369 PREST"
"CONV Sale",908,107000,39,"20440","SALEM",44951,"single family","20440 SALEM"
"CONV Sale",1052,115000,83,"19134","BURT",44951,"single family","19134 BURT"
"FHA Sale",1100,125000,65,"16618","TULLER",44951,"single family","16618 TULLER"
"CONV Sale",1624,165000,53,"8316","OUTER",44951,"single family","8316 OUTER"
"FHA Sale",1971,165000,118,"18630","WOODINGHAM",44951,"single family","18630 WOODINGHAM"
"Cash Sale",1040,35000,118,"15750","MURRAY HILL",44952,"single family","15750 MURRAY HILL"
"Cash Sale",681,37000,22,"4003","DORIS",44952,"single family","4003 DORIS"
"Cash Sale",709,40000,9,"16195","TULLER",44952,"single family","16195 TULLER"
"Cash Sale",960,65000,88,"7481","RUTHERFORD",44952,"single family","7481 RUTHERFORD"
"Contract",912,109000,143,"19657","APPLETON",44952,"single family","19657 APPLETON"
"CONV Sale",1142,110000,19,"15810","ROBSON",44952,"single family","15810 ROBSON"
"FHA Sale",1794,126000,8,"5707","Hillcrest St",44952,"single family","5707 Hillcrest St"
"FHA Sale",1945,140000,260,"6127","GRAYTON",44952,"single family","6127 GRAYTON"
"Cash Sale",1345,170000,19,"14559","ROSEMONT",44952,"single family","14559 ROSEMONT"
"CONV Sale",3800,4e+05,38,"19465","Canterbury",44952,"single family","19465 Canterbury"
"Cash Sale",1322,20000,254,"14542","MANNING",44953,"single family","14542 MANNING"
"Cash Sale",844,30000,10,"19637","Moross",44953,"single family","19637 Moross"
"Cash Sale",1080,30000,27,"15349","CRUSE",44953,"single family","15349 CRUSE"
"Cash Sale",825,30990,35,"19957","SAINT AUBIN",44953,"single family","19957 SAINT AUBIN"
"Cash Sale",1095,32000,23,"14611","SUSSEX",44953,"single family","14611 SUSSEX"
"Cash Sale",1421,33000,6,"8243","ARTESIAN",44953,"single family","8243 ARTESIAN"
"Cash Sale",743,37500,116,"9255","HEYDEN",44953,"single family","9255 HEYDEN"
"Cash Sale",1012,42000,50,"18900","OAKFIELD",44953,"single family","18900 OAKFIELD"
"Cash Sale",972,45000,33,"18919","BELAND",44953,"single family","18919 BELAND"
"Cash Sale",957,46000,6,"8798","HOMER",44953,"single family","8798 HOMER"
"Cash Sale",1025,49000,52,"8181","HOUSE",44953,"single family","8181 HOUSE"
"Cash Sale",915,55000,21,"8458","BURT",44953,"single family","8458 BURT"
"Cash Sale",798,60000,55,"19941","GALLAGHER",44953,"single family","19941 GALLAGHER"
"CONV Sale",1500,65000,21,"2571","Townsend",44953,"single family","2571 Townsend"
"Cash Sale",994,66000,164,"18957","WINTHROP",44953,"single family","18957 WINTHROP"
"Cash Sale",1294,80000,18,"20601","ORANGELAWN",44953,"single family","20601 ORANGELAWN"
"Cash Sale",2373,89500,96,"4373","LESLIE",44953,"single family","4373 LESLIE"
"CONV Sale",937,1e+05,195,"3892","TALBOT",44953,"single family","3892 TALBOT"
"CONV Sale",2156,135000,27,"16874","MUIRLAND",44953,"single family","16874 MUIRLAND"
"CONV Sale",1096,145500,14,"19501","BEAVERLAND",44953,"single family","19501 BEAVERLAND"
"CONV Sale",1092,154000,54,"20110","TRINITY",44953,"single family","20110 TRINITY"
"FHA Sale",1077,165000,29,"19597","REDFERN",44953,"single family","19597 REDFERN"
"CONV Sale",1403,170000,16,"17360","LITTLEFIELD",44953,"single family","17360 LITTLEFIELD"
"CONV Sale",1464,175000,35,"5815","BUCKINGHAM",44953,"single family","5815 BUCKINGHAM"
"CONV Sale",1365,179000,135,"16705","CHANDLER PARK",44953,"single family","16705 CHANDLER PARK"
"FHA Sale",1590,190000,2,"18453","SORRENTO",44953,"single family","18453 SORRENTO"
"FHA Sale",3732,285000,19,"3456","7 MILE",44953,"single family","3456 7 MILE"
"CONV Sale",4300,375000,40,"2236","IROQUOIS",44953,"single family","2236 IROQUOIS"
"Cash Sale",850,76900,21,"6767","WOODMONT",44954,"single family","6767 WOODMONT"
"Cash Sale",929,21000,15,"9059","PIERSON",44956,"single family","9059 PIERSON"
"Other Sale",1167,21000,172,"8508","Artesian",44956,"single family","8508 Artesian"
"Cash Sale",888,33240,4,"7809","PATTON",44956,"single family","7809 PATTON"
"Cash Sale",966,33500,119,"17525","PIERSON",44956,"single family","17525 PIERSON"
"Cash Sale",1037,42500,6,"11775","PARKWAY",44956,"single family","11775 PARKWAY"
"Cash Sale",1190,48000,62,"11076","SAINT PATRICK",44956,"single family","11076 SAINT PATRICK"
"Cash Sale",933,48000,86,"20525","MANOR",44956,"single family","20525 MANOR"
"CONV Sale",1141,75000,46,"18422","AVON",44956,"single family","18422 AVON"
"FHA Sale",1143,148500,37,"5034","OAKMAN",44956,"single family","5034 OAKMAN"
"CONV Sale",1524,160000,58,"3788","Burns St",44956,"single family","3788 Burns St"
"FHA Sale",2100,249000,37,"4277","LESLIE",44956,"single family","4277 LESLIE"
"Cash Sale",1194,6000,161,"3869","HARDING",44957,"single family","3869 HARDING"
"Cash Sale",1362,16100,5,"9364","PATTON",44957,"single family","9364 PATTON"
"Cash Sale",939,20000,22,"9959","STAHELIN",44957,"single family","9959 STAHELIN"
"Cash Sale",934,21000,40,"9561","MANSFIELD",44957,"single family","9561 MANSFIELD"
"Contract",915,40000,23,"20266","BRADFORD",44957,"single family","20266 BRADFORD"
"Cash Sale",1252,47500,34,"5321","CADILLAC",44957,"single family","5321 CADILLAC"
"CONV Sale",1200,49000,6,"19685","YONKA",44957,"single family","19685 YONKA"
"Cash Sale",1325,49500,36,"13391","KILBOURNE",44957,"single family","13391 KILBOURNE"
"CONV Sale",1182,50000,71,"15762","BILTMORE",44957,"single family","15762 BILTMORE"
"Cash Sale",1000,51000,37,"5764","Farmbrook",44957,"single family","5764 Farmbrook"
"Cash Sale",919,58200,10,"9656","CHATHAM",44957,"single family","9656 CHATHAM"
"Cash Sale",1652,63501,7,"503","MOUNT VERNON",44957,"single family","503 MOUNT VERNON"
"Cash Sale",1124,65000,15,"16615","ROBSON",44957,"single family","16615 ROBSON"
"CONV Sale",1227,66400,23,"15328","WARD",44957,"single family","15328 WARD"
"FHA Sale",1159,67000,5,"19162","FORRER",44957,"single family","19162 FORRER"
"CONV Sale",868,72000,7,"2554","ETHEL",44957,"single family","2554 ETHEL"
"CONV Sale",996,92000,69,"20220","RIOPELLE",44957,"single family","20220 RIOPELLE"
"FHA Sale",975,97000,49,"20431","HARNED",44957,"single family","20431 HARNED"
"FHA Sale",1520,98000,66,"17267","WARWICK",44957,"single family","17267 WARWICK"
"CONV Sale",984,103000,13,"6372","ASHTON",44957,"single family","6372 ASHTON"
"FHA Sale",1278,111000,24,"12832","SAINT MARYS",44957,"single family","12832 SAINT MARYS"
"CONV Sale",1449,135000,83,"467","CHALMERS",44957,"single family","467 CHALMERS"
"CONV Sale",1623,175000,52,"18629","SAN JUAN",44957,"single family","18629 SAN JUAN"
"VA Sale",1578,185000,58,"9988","OUTER",44957,"single family","9988 OUTER"
"CONV Sale",1491,203000,9,"1776","ESTATES",44957,"single family","1776 ESTATES"
"CONV Sale",4042,615000,4,"1001","SEMINOLE",44957,"single family","1001 SEMINOLE"
"Other Sale",925,22000,7,"8866","FARMBROOK",44958,"single family","8866 FARMBROOK"
"Cash Sale",963,42000,52,"14221","CURTIS",44958,"single family","14221 CURTIS"
"Cash Sale",1209,43000,83,"19231","MAPLEVIEW",44958,"single family","19231 MAPLEVIEW"
"Cash Sale",1263,48500,10,"16845","STANSBURY",44958,"single family","16845 STANSBURY"
"Contract",770,52500,11,"6440","RUTLAND",44958,"single family","6440 RUTLAND"
"Cash Sale",912,56000,0,"7411","FORRER",44958,"single family","7411 FORRER"
"Cash Sale",1209,61500,70,"16877","CRUSE",44958,"single family","16877 CRUSE"
"CONV Sale",888,63000,29,"18811","HASSE",44958,"single family","18811 HASSE"
"FHA Sale",752,72500,81,"20124","MONICA",44958,"single family","20124 MONICA"
"FHA Sale",974,80000,35,"12675","RIAD",44958,"single family","12675 RIAD"
"Cash Sale",1643,80501,5,"23016","PEMBROKE",44958,"single family","23016 PEMBROKE"
"Cash Sale",1068,86000,8,"13869","FAIRMOUNT",44958,"single family","13869 FAIRMOUNT"
"VA Sale",1534,140000,32,"3019","TAYLOR",44958,"single family","3019 TAYLOR"
"Cash Sale",1025,25000,122,"19326","HICKORY",44959,"single family","19326 HICKORY"
"Cash Sale",674,30000,87,"19632","BINDER",44959,"single family","19632 BINDER"
"CONV Sale",1292,70000,69,"18000","MARX",44959,"single family","18000 MARX"
